0,0.0,2.56,0.0,2.56,0
1,0.0,2.56,42.0,44.56,0
2,0.0,2.56,84.0,86.56,0
3,42.0,44.56,0.0,2.56,0
4,42.0,44.56,42.0,44.56,0
5,42.0,44.56,84.0,86.56,0
6,84.0,86.56,0.0,2.56,0
7,84.0,86.56,42.0,44.56,0
8,84.0,86.56,84.0,86.56,0
9,0.0,2.56,126.0,128.56,1
10,0.0,2.56,168.0,170.56,1
11,42.0,44.56,126.0,128.56,1
12,42.0,44.56,168.0,170.56,1
13,84.0,86.56,126.0,128.56,1
14,84.0,86.56,168.0,170.56,1
15,0.0,2.56,210.0,212.56,2
16,0.0,2.56,252.0,254.56,2
17,0.0,2.56,294.0,296.56,2
18,42.0,44.56,210.0,212.56,2
19,42.0,44.56,252.0,254.56,2
20,42.0,44.56,294.0,296.56,2
21,84.0,86.56,210.0,212.56,2
22,84.0,86.56,252.0,254.56,2
23,84.0,86.56,294.0,296.56,2
24,0.0,2.56,336.0,338.56,3
25,0.0,2.56,378.0,380.56,3
26,42.0,44.56,336.0,338.56,3
27,42.0,44.56,378.0,380.56,3
28,84.0,86.56,336.0,338.56,3
29,84.0,86.56,378.0,380.56,3
30,0.0,2.56,420.0,422.56,4
31,42.0,44.56,420.0,422.56,4
32,84.0,86.56,420.0,422.56,4
33,126.0,128.56,0.0,2.56,5
34,126.0,128.56,42.0,44.56,5
35,126.0,128.56,84.0,86.56,5
36,168.0,170.56,0.0,2.56,5
37,168.0,170.56,42.0,44.56,5
38,168.0,170.56,84.0,86.56,5
39,126.0,128.56,126.0,128.56,6
40,126.0,128.56,168.0,170.56,6
41,168.0,170.56,126.0,128.56,6
42,168.0,170.56,168.0,170.56,6
43,126.0,128.56,210.0,212.56,7
44,126.0,128.56,252.0,254.56,7
45,126.0,128.56,294.0,296.56,7
46,168.0,170.56,210.0,212.56,7
47,168.0,170.56,252.0,254.56,7
48,168.0,170.56,294.0,296.56,7
49,126.0,128.56,336.0,338.56,8
